Dataset,Model,Experiment,AUC_mean,AUC_std,Acc_mean,Acc_std,F1_mean,F1_std,Params,Efficiency
SPAMBASE,ReLU,Main,0.9818696898466618,0.004396351447778199,0.9381107491856678,0.009784043714283444,0.9223002936127154,0.010441074254353805,6017,0.2597964975369425
SPAMBASE,GELU,Main,0.9810909214003594,0.004166278652403544,0.937785016286645,0.010139662811904485,0.9217068641192911,0.011343308384764704,6017,0.25959044034133516
SPAMBASE,SiLU,Main,0.9796101150170621,0.004379259668843283,0.9371335504885993,0.010050911320666886,0.9208281944201842,0.01115349626173873,6017,0.2591986283566195
SPAMBASE,PReLU,Main,0.9800238190027845,0.004781764986631035,0.9371335504885995,0.010155927176089131,0.9208966518596091,0.010887323044644116,6019,0.2592981893961483
SPAMBASE,Mish,Main,0.9802457943171523,0.0042201638173423196,0.9383279044516829,0.010206297502714444,0.9223740455515941,0.011244500961496358,6017,0.25936682507093706
SPAMBASE,Tanh,Main,0.9782879448486499,0.003894014561161475,0.9332247557003257,0.009604672102580966,0.9164881943051416,0.009997381082539955,6017,0.2588487905090382
SPAMBASE,Sigmoid,Main,0.9669257473545892,0.006453831959303554,0.914332247557003,0.011607654854016578,0.888129172367256,0.01370168956714519,6017,0.255842425057691
SPAMBASE,PAU,Main,0.7759603225328837,0.08948833297071036,0.6263843648208469,0.12810821807515166,0.651791387062623,0.09122595229009986,6037,0.2052359226848967
SPAMBASE,Hybrid (Specialist),Main,0.9823179148309478,0.0032588331401449933,0.9376764386536373,0.008142598592509308,0.9218383452274992,0.008821539920756268,6017,0.2599150950272513
SPAMBASE,Unbounded Hybrid,Main,0.980701992200947,0.0037548225617754258,0.9378935939196525,0.008615346112867484,0.9218641675960235,0.009016835844490763,6019,0.25947762287416265
MINIBOONE,Heavy (ReLU),Main,0.9737021835837059,0.004673982812761461,0.9232549999999999,0.008381182792422568,0.8637908299865524,0.014893817844386002,31001,0.21679375050053562
MINIBOONE,ReLU,Main,0.9740225869145689,0.00754447457105282,0.924175,0.012563046008034833,0.8647910066952094,0.02210998937517567,5569,0.26003217229862363
MINIBOONE,GELU,Main,0.9669264669374156,0.003628086072718109,0.911665,0.005908005162489276,0.8424171206269955,0.01150410497315209,5569,0.2581377403651754
MINIBOONE,SiLU,Main,0.964913709517293,0.004866475837139307,0.9091549999999999,0.007797225468075169,0.8365313753497968,0.014834987690619151,5569,0.25760039996743106
MINIBOONE,PReLU,Main,0.9740094878880129,0.008057129917064096,0.924535,0.013387905922884292,0.8654259442937411,0.024344930442236484,5571,0.2600178504756303
MINIBOONE,Mish,Main,0.9667273609324172,0.006391261167972245,0.911815,0.010024371551374204,0.8414288439998255,0.01842309620725475,5569,0.2580845855742157
MINIBOONE,Tanh,Main,0.9702650208668148,0.0016517053654797188,0.9184599999999999,0.00295184687949765,0.8527570576222985,0.005467779727796102,5569,0.25902902506663983
MINIBOONE,Sigmoid,Main,0.9664167946789458,0.003515625207077041,0.9141300000000001,0.004684079418626474,0.8466060147414636,0.00795972469384834,5569,0.25800167454256434
MINIBOONE,PAU,Main,0.653623885323537,0.11116904230570383,0.7200399999999999,0.0032165043136921107,0.0001407211961301671,0.0004221635883905013,5589,0.17442370127774173
MINIBOONE,Hybrid (Specialist),Main,0.9757552418460804,0.0013769998599144405,0.9268850000000001,0.002150935842836793,0.8697910585140493,0.0034642869805965224,5569,0.2604947344935231
MINIBOONE,Unbounded Hybrid,Main,0.9751468251678708,0.005310396552107593,0.92573,0.009243976417105362,0.8679227497475098,0.015459686716812176,5571,0.26032146968925385
MAGIC_TELESCOPE,Heavy (ReLU),Main,0.9326970711783027,0.0033595553060683874,0.8762881177707676,0.006508844528258239,0.9083264089697245,0.0046757143107262105,23001,0.2138356790261146
MAGIC_TELESCOPE,ReLU,Main,0.927945094149152,0.003892781529148119,0.871713985278654,0.004048711526430776,0.9055264016675576,0.002985715951866624,3009,0.26677184196321924
MAGIC_TELESCOPE,GELU,Main,0.9279413299520316,0.0036549829630629104,0.870136698212408,0.004944682447760863,0.904372102338281,0.00374942314717853,3009,0.2667707598067364
MAGIC_TELESCOPE,SiLU,Main,0.925917991352275,0.003948890163707007,0.8688748685594112,0.004899473294309896,0.9036756350117466,0.0036715930093195737,3009,0.2661890769371618
MAGIC_TELESCOPE,PReLU,Main,0.9276086702563401,0.0036947738346249015,0.8712670872765511,0.0037270766422658514,0.9052200251961585,0.0027886980056891246,3011,0.26665300320998125
MAGIC_TELESCOPE,Mish,Main,0.9266454616742283,0.0038148071947340556,0.8693217665615143,0.004684082300796352,0.9038218817134714,0.0035473588490584932,3009,0.26639821495511645
MAGIC_TELESCOPE,Tanh,Main,0.91011661363634,0.004726700860923587,0.8561251314405889,0.003784119538492426,0.8936860707851129,0.0029457459841695046,3009,0.2616463915289247
MAGIC_TELESCOPE,Sigmoid,Main,0.8854300871247643,0.006119009436408162,0.8305730809674028,0.006536444142563809,0.8752345610786852,0.005093169393680543,3009,0.25454934431062415
MAGIC_TELESCOPE,PAU,Main,0.8014442748724881,0.07493498402551725,0.7651419558359621,0.0450434758665382,0.8317230661390574,0.026330849230607616,3029,0.2302141275275129
MAGIC_TELESCOPE,Hybrid (Specialist),Main,0.9098883423102873,0.004212676950662339,0.8563880126182966,0.004838799217826205,0.8942649273208563,0.003749423324548596,3009,0.2615807665663031
MAGIC_TELESCOPE,Unbounded Hybrid,Main,0.928924909110331,0.0037806451547626086,0.871608832807571,0.004506246548310408,0.9051068913797102,0.0034604448157275524,3011,0.2670313729413264
PHONEME,Heavy (ReLU),Main,0.9165249013882816,0.009075095893539612,0.8477335800185013,0.008399303950280216,0.7364572410367889,0.018682349212221044,22001,0.21106207348870268
PHONEME,ReLU,Main,0.8918357630469449,0.009631617913700088,0.8112858464384829,0.012075610636137442,0.6876067416933243,0.021767939977576218,2689,0.2600414493964686
PHONEME,GELU,Main,0.8917896774744174,0.010231162639134025,0.8076780758556893,0.01124977173736146,0.6870185661641386,0.01988270197588665,2689,0.2600280117663882
PHONEME,SiLU,Main,0.8794239230087214,0.011517194331987415,0.7961147086031453,0.011171529427900494,0.6679990659812045,0.021613091484783575,2689,0.2564224053897675
PHONEME,PReLU,Main,0.880165542180005,0.009897328609628768,0.7982423681776134,0.011226927991566632,0.6674844219189785,0.023306615805520774,2691,0.25661448646765017
PHONEME,Mish,Main,0.8833913198825991,0.01100913186702112,0.8006475485661426,0.009508435323058456,0.6773010336367886,0.01749741147655354,2689,0.25757921887063695
PHONEME,Tanh,Main,0.8503676683897154,0.008382317019221746,0.785753931544866,0.008590702509708708,0.638420109115078,0.016849959882923392,2689,0.24795018339752
PHONEME,Sigmoid,Main,0.8127649366239756,0.00807494509945182,0.7619796484736355,0.011904676125366241,0.5527807163146121,0.03235734283124763,2689,0.23698597981341807
PHONEME,PAU,Main,0.876462093187158,0.01232505995199118,0.8083256244218315,0.011515534741606229,0.6809527246440908,0.01680540536348096,2709,0.2553192128959384
PHONEME,Hybrid (Specialist),Main,0.8874985361378858,0.009343938278034852,0.8057354301572618,0.01133729043467421,0.6814403591643353,0.019305927281693953,2689,0.2587768008832269
PHONEME,Unbounded Hybrid,Main,0.895000911631794,0.010279704509901086,0.816096207215541,0.013607012772023619,0.6951392860954926,0.0239722857636207,2691,0.26093977589445455
EEG_EYE_STATE,Heavy (ReLU),Main,0.878988024652366,0.05795111037124861,0.7961949265687583,0.05330038240790866,0.758577336920214,0.08638581258342456,23801,0.20083831919859352
EEG_EYE_STATE,ReLU,Main,0.8293581476034861,0.07530042540488693,0.7488985313751669,0.06153266510353295,0.7092364596389694,0.07735798275268684,3265,0.23602325512686445
EEG_EYE_STATE,GELU,Main,0.818580544006419,0.07566123417489941,0.7393524699599465,0.060100769700011616,0.6963301414966951,0.06735710900374846,3265,0.23295610604200015
EEG_EYE_STATE,SiLU,Main,0.7905598396603409,0.07449280479152214,0.7117156208277704,0.05973477560582614,0.6570240249492746,0.07485502898828718,3265,0.22498182150664073
EEG_EYE_STATE,PReLU,Main,0.8347330537090508,0.08197116595274342,0.7561415220293725,0.06745663358500306,0.7198458089070016,0.07894919542062898,3267,0.23753489728706484
EEG_EYE_STATE,Mish,Main,0.803590744311333,0.0750123514343986,0.7241989319092121,0.061110991488059575,0.6703029797191737,0.07443677833634264,3265,0.2286902272682073
EEG_EYE_STATE,Tanh,Main,0.8154227439514816,0.03876282197328966,0.7294058744993325,0.03799918333539524,0.6660019027131654,0.05431242851063776,3265,0.232057442117181
EEG_EYE_STATE,Sigmoid,Main,0.6516971873385837,0.03442478823315852,0.6075767690253671,0.024513993386881393,0.4786665050158046,0.060730863348925364,3265,0.1854635321991355
EEG_EYE_STATE,PAU,Main,0.5157958585371528,0.028498482235904697,0.5478638184245661,0.008975101173969711,0.0,0.0,3285,0.14667728422868886
EEG_EYE_STATE,Hybrid (Specialist),Main,0.49972206960798493,0.011231588810920425,0.5382176234979973,0.013798617474351781,0.13876828001764338,0.10264334918467634,3265,0.14221362612572996
EEG_EYE_STATE,Unbounded Hybrid,Main,0.6717144154769106,0.049925471656098,0.6048397863818424,0.034574493437254966,0.3691993039180722,0.14261217495364267,3267,0.19114567702522348
WILT,Heavy (ReLU),Main,0.9963184370240402,0.0022038703598089033,0.9884297520661157,0.0034818800715604456,0.885334121760853,0.03497881632234288,22001,0.22943733973271618
WILT,ReLU,Main,0.9935967595233196,0.00202218491944546,0.9680785123966942,0.012554522169749456,0.5592653971894479,0.22005567407755894,2689,0.2897129181939724
WILT,GELU,Main,0.993141275789615,0.002075447523634678,0.9790289256198346,0.00369742358846555,0.7710042841892324,0.04664065419174219,2689,0.28958010825833536
WILT,SiLU,Main,0.9936840043602431,0.001966157407691813,0.9818181818181818,0.0038708665279328976,0.8130991225385144,0.037375255720585046,2689,0.28973835704133194
WILT,PReLU,Main,0.9935072165488723,0.0019180264035730176,0.9751033057851239,0.006066961512407427,0.7026212625588826,0.0903142132841406,2691,0.2896595378468625
WILT,Mish,Main,0.9941856127706646,0.002139354962291971,0.9823347107438016,0.003850133296195097,0.8192390557719534,0.041524430163155254,2689,0.28988461600904797
WILT,Tanh,Main,0.9925534999361563,0.002358733329161871,0.9855371900826446,0.0036083159497051543,0.8628124567013987,0.03125869553253952,2689,0.28940872458974215
WILT,Sigmoid,Main,0.9892841106792799,0.0024254756925791926,0.9463842975206612,0.009034975373589353,0.0,0.0,2689,0.28845543615231195
WILT,PAU,Main,0.5838433597679304,0.08171780153211429,0.9444214876033058,0.009109672597127522,0.0,0.0,2709,0.17007743772283926
WILT,Hybrid (Specialist),Main,0.5031099393650726,0.05131640617236946,0.9463842975206612,0.009034975373589353,0.0,0.0,2689,0.14669678348767481
WILT,Unbounded Hybrid,Main,0.9926472991647627,0.0023586202431953563,0.9727272727272727,0.009769909435980882,0.6638235782975612,0.11396710332868623,2691,0.2894088267620121
HIGGS,Depth-2 ReLU,Depth,0.8156872599255512,0.0011838405614683883,0.73546,0.001110666466586613,0.7515133879242357,0.0021403494397202083,4161,
HIGGS,Depth-2 Hybrid,Depth,0.7998835278049853,0.0028745200535509577,0.7169070000000001,0.004322490138797322,0.7130184726917819,0.009528593757826154,4161,
HIGGS,Depth-3 ReLU,Depth,0.8282687193343575,0.001957494925252112,0.7462679999999999,0.0016900284021282065,0.7623714545710893,0.002035892917092077,14529,
HIGGS,Depth-3 Hybrid,Depth,0.769184575695312,0.08443181198987587,0.668529,0.04936918866054007,0.6343912129671399,0.04382524201768849,14529,
HIGGS,Depth-4 ReLU,Depth,0.8355366060360172,0.0010067431671887087,0.752695,0.001117365204398286,0.7679275787857656,0.0009453880180688333,51649,
HIGGS,Depth-4 Hybrid,Depth,0.5109800090521055,0.009837853553945581,0.528869,0.0014870403491499475,0.6918422102047407,0.0012722772640528415,51649,
HIGGS,Residual-4b ReLU,Depth,0.837920969311169,0.0013043760415889537,0.754519,0.0011385293145106154,0.7703417322201583,0.001442735375164084,71169,
HIGGS,Residual-4b Hybrid,Depth,0.8301265144985421,0.0009661609095809633,0.7477730000000001,0.0006458180858415039,0.7622440907953465,0.002488682104564544,71169,
HIGGS,Residual-8b ReLU,Depth,0.8405690429810011,0.0014059637739435166,0.756734,0.0016505344588950536,0.7730737050263884,0.002001391092874917,138241,
HIGGS,Residual-8b Hybrid,Depth,0.835068539386372,0.0011852667652054467,0.7518499999999999,0.001389337971841262,0.765611851492832,0.002171151403815211,138241,
FOREST_COVER,Depth-2 ReLU,Depth,0.9198808999449538,0.002379507429313627,0.838025,0.003190787520346665,0.839113426984097,0.0035462208604877146,5825,
FOREST_COVER,Depth-2 Hybrid,Depth,0.9274079998558925,0.0021027424699868224,0.8493,0.0033074159097397906,0.8495102715375248,0.0033785320873346006,5825,
FOREST_COVER,Depth-3 ReLU,Depth,0.9425404948555978,0.0010232301866027389,0.866845,0.002294825701442275,0.8687928530667579,0.002617856716938883,17857,
FOREST_COVER,Depth-3 Hybrid,Depth,0.9454053104456994,0.0014887107859868822,0.871785,0.002399380128283125,0.8716158461809929,0.0028611267031881213,17857,
FOREST_COVER,Depth-4 ReLU,Depth,0.9564225549692154,0.001105357793503389,0.88536,0.0025017793667707743,0.8863304226922137,0.002584511032219982,58305,
FOREST_COVER,Depth-4 Hybrid,Depth,0.9592082879691753,0.0010752840432945528,0.8887050000000001,0.002509128334701103,0.8873393231526328,0.003143310874655382,58305,
FOREST_COVER,Residual-4b ReLU,Depth,0.9561350739046555,0.0009778996630618493,0.885455,0.00199454882116231,0.8851123818093868,0.0019212953981923469,74497,
FOREST_COVER,Residual-4b Hybrid,Depth,0.9660522840461752,0.001119983439925915,0.90098,0.001890925699227762,0.8999678287358025,0.0018343154576859174,74497,
FOREST_COVER,Residual-8b ReLU,Depth,0.964679000750009,0.0008840125976524416,0.8990449999999999,0.002192766517438641,0.8986328327263859,0.0017543145302225047,141569,
FOREST_COVER,Residual-8b Hybrid,Depth,0.9704279947075921,0.0006994726906614356,0.90732,0.00220161304501949,0.9063649940398362,0.0023030097282463694,141569,
MINIBOONE,Depth-2 ReLU,Depth,0.9740225869145689,0.00754447457105282,0.924175,0.012563046008034833,0.8647910066952094,0.02210998937517567,5569,
MINIBOONE,Depth-2 Hybrid,Depth,0.9757552418460804,0.0013769998599144405,0.9268850000000001,0.002150935842836793,0.8697910585140493,0.0034642869805965224,5569,
MINIBOONE,Depth-3 ReLU,Depth,0.9749264594603515,0.006543000498775936,0.92622,0.011678146257005008,0.8688573382594994,0.019832049242010926,17345,
MINIBOONE,Depth-3 Hybrid,Depth,0.9770859717973899,0.0006849401989494947,0.9293099999999999,0.000995188424369962,0.8745502522194887,0.002532626241408578,17345,
MINIBOONE,Depth-4 ReLU,Depth,0.9771360003038538,0.006133706894121299,0.9290499999999999,0.010897453831056118,0.8731568705854647,0.01846787210456026,57281,
MINIBOONE,Depth-4 Hybrid,Depth,0.9778865191685366,0.0005138656673642678,0.9304399999999999,0.001358639024906919,0.8768088306088142,0.0016737025075770665,57281,
MINIBOONE,Residual-4b ReLU,Depth,0.9751672531287472,0.007571883088202258,0.9257499999999999,0.012704802241672244,0.8673121524603358,0.024019470619801905,73985,
MINIBOONE,Residual-4b Hybrid,Depth,0.9770762972627848,0.0037526661759157472,0.9292,0.006659954954802611,0.8740481513332323,0.012135491513712324,73985,
MINIBOONE,Residual-8b ReLU,Depth,0.9756019888819777,0.006029073970828811,0.92649,0.010706278531777505,0.8692237637777838,0.019418759348876366,141057,
MINIBOONE,Residual-8b Hybrid,Depth,0.9779683032717357,0.0023519647608999847,0.930585,0.004275982343275047,0.8769676880846958,0.0075086671447209844,141057,
HIGGS,ReLU baseline,Ablation,0.8156872599255512,0.0011838405614683883,0.73546,0.001110666466586613,0.7515133879242357,0.0021403494397202083,4161,
HIGGS,Activation-only,Ablation,0.7998835278049853,0.0028745200535509577,0.7169070000000001,0.004322490138797322,0.7130184726917819,0.009528593757826154,4161,
HIGGS,Shortcut-only,Ablation,0.8156263421177451,0.000993835664971524,0.735722,0.0010812104328020427,0.750911764140819,0.0020087043475618322,4162,
HIGGS,Full Hybrid,Ablation,0.8012858502790913,0.0021601181186661797,0.7180660000000001,0.002866814259766402,0.7146306283692022,0.008651649300775078,4162,
FOREST_COVER,ReLU baseline,Ablation,0.9198808999449538,0.002379507429313627,0.838025,0.003190787520346665,0.839113426984097,0.0035462208604877146,5825,
FOREST_COVER,Activation-only,Ablation,0.9274079998558925,0.0021027424699868224,0.8493,0.0033074159097397906,0.8495102715375248,0.0033785320873346006,5825,
FOREST_COVER,Shortcut-only,Ablation,0.9202155539187812,0.0025501583274719197,0.8382799999999999,0.004078492368510695,0.8395770288078582,0.004098621313564015,5826,
FOREST_COVER,Full Hybrid,Ablation,0.9273389644875527,0.0016552178332752282,0.8494249999999999,0.002581496658917054,0.8493622525083175,0.0024435908571840926,5826,
HIGGS,Manual:tanh,Manual,0.8108324654865842,0.0015341572276415267,0.731743,0.0011726896435118696,0.7468933921157437,0.00155423390904001,4161,
HIGGS,Manual:arctan(x),Manual,0.8067564756328393,0.00146767735665385,0.728657,0.0008869616677173862,0.7443216316692199,0.0011497539083588709,4161,
HIGGS,Manual:arctan(x+0.5),Manual,0.8071102323762522,0.0014844458680323721,0.7290030000000001,0.001413237771926577,0.7440181296173052,0.0018139779568145066,4161,
HIGGS,Manual:arctan(x+0.6),Manual,0.8072329013376155,0.0014900861967042161,0.7290699999999999,0.0012496559526525798,0.7444935931801556,0.0017025808962084143,4161,
HIGGS,Manual:cos(sqrt|x|),Manual,0.8208482449447108,0.0011469932727747527,0.739662,0.001301428445977723,0.751578633482181,0.0017970316457050508,4161,
HIGGS,Manual:cos(sqrt(|x+0.6|)),Manual,0.820376540340941,0.0010648080100349312,0.739791,0.0007557175398255481,0.7554065171618798,0.0013892788530128054,4161,
HIGGS,Manual:cos(arctan(x)),Manual,0.8003944088972365,0.0021994735322954035,0.7156870000000001,0.00293639592017154,0.7088413070769206,0.00799401502725644,4161,
HIGGS,Manual:0.64*cos(arctan(x)),Manual,0.8006785956579515,0.0013111437618889077,0.717874,0.002069252038781161,0.7150736345089055,0.0063606768740905335,4161,
HIGGS,Manual:1/sqrt(1+x^2),Manual,0.800009898322191,0.0021288516251547164,0.715155,0.003064510564511071,0.7077114548386367,0.008562986437840064,4161,
HIGGS,Manual:x/(1+|x|),Manual,0.8056057735720861,0.0015966080301979928,0.7279500000000001,0.001456173066637353,0.7435719087212951,0.0014444851001456773,4161,
HIGGS,Manual:sin(x)/(1+|x|),Manual,0.8207105893061305,0.0010787893518769231,0.7401920000000001,0.000734830592721887,0.7549231342025967,0.0013281506198227692,4161,
FOREST_COVER,Manual:tanh,Manual,0.9162815616044071,0.0018374889536413325,0.8354800000000001,0.0027446493400797157,0.8353618769217265,0.003079567395173988,5825,
FOREST_COVER,Manual:arctan(x),Manual,0.9025980224011985,0.001827664313668379,0.821055,0.002775378352585475,0.8198411286191888,0.003342215855895121,5825,
FOREST_COVER,Manual:arctan(x+0.5),Manual,0.9032513966408855,0.001873073073122344,0.8221999999999999,0.0024973986465921002,0.8217661091128349,0.002512299062981028,5825,
FOREST_COVER,Manual:arctan(x+0.6),Manual,0.9033827743431218,0.0019721634053267772,0.8228250000000001,0.0025743202986419455,0.8222459610458565,0.002904498727081652,5825,
FOREST_COVER,Manual:cos(sqrt|x|),Manual,0.9208547103827881,0.0021334164472293802,0.8428249999999998,0.0026139290349969247,0.8423285150071829,0.0033717275419289593,5825,
FOREST_COVER,Manual:cos(sqrt(|x+0.6|)),Manual,0.9272514239031391,0.002335574570188268,0.84884,0.0031227231705676403,0.8484037476189291,0.0032516026044709496,5825,
FOREST_COVER,Manual:cos(arctan(x)),Manual,0.8980475188033147,0.0022593598571836854,0.8160649999999998,0.0032041418507924896,0.8155610210524953,0.0032557204533672935,5825,
FOREST_COVER,Manual:0.64*cos(arctan(x)),Manual,0.8988006957797593,0.002207286164255697,0.8166399999999999,0.003535095472543862,0.8163886487459899,0.0029472088855199523,5825,
FOREST_COVER,Manual:1/sqrt(1+x^2),Manual,0.898088418855113,0.0022324273464921127,0.8157850000000002,0.003363781354368913,0.8152061189593551,0.0033093570696179782,5825,
FOREST_COVER,Manual:x/(1+|x|),Manual,0.9051005652848298,0.001324331061940538,0.8240500000000001,0.0021456933611306065,0.8229192961994822,0.002139366815993478,5825,
FOREST_COVER,Manual:sin(x)/(1+|x|),Manual,0.9411823899350595,0.00155935703016822,0.8661099999999999,0.0023838833864096654,0.8660922948429143,0.002479190830616123,5825,
SPAMBASE,Manual:tanh,Manual,0.9782879448486499,0.003894014561161475,0.9332247557003257,0.009604672102580966,0.9164881943051416,0.009997381082539955,6017,
SPAMBASE,Manual:arctan(x),Manual,0.9772927556152876,0.004174843827794637,0.931270358306189,0.00871398924092652,0.9138892489551506,0.00917720526407106,6017,
SPAMBASE,Manual:arctan(x+0.5),Manual,0.9777237263248336,0.0045168000869251655,0.9331161780673181,0.009317454051216045,0.9161208098525145,0.009642420223680894,6017,
SPAMBASE,Manual:arctan(x+0.6),Manual,0.9776535148063376,0.004641109557562083,0.9324647122692726,0.009261614815259991,0.915229906665185,0.0095899456574939,6017,
SPAMBASE,Manual:cos(sqrt|x|),Manual,0.8883610557326105,0.15792644227233568,0.8117263843648208,0.07192594154395549,0.6710965376029929,0.23470668977376968,6017,
SPAMBASE,Manual:cos(sqrt(|x+0.6|)),Manual,0.9741263760308545,0.0056518479949980585,0.9326818675352877,0.009986781574433811,0.9144790528637063,0.012152013484963154,6017,
SPAMBASE,Manual:cos(arctan(x)),Manual,0.859124617283942,0.15625183819595634,0.7138979370249728,0.05802608540960368,0.42447899104061626,0.20254363506248155,6017,
SPAMBASE,Manual:0.64*cos(arctan(x)),Manual,0.8074134305065513,0.20772112679291915,0.6795874049945712,0.05903558715144027,0.3032559430120545,0.22473619737915226,6017,
SPAMBASE,Manual:1/sqrt(1+x^2),Manual,0.8591221296685505,0.15625924712866177,0.7138979370249728,0.05802608540960368,0.42447899104061626,0.20254363506248155,6017,
SPAMBASE,Manual:x/(1+|x|),Manual,0.9780527131100776,0.004556709176106841,0.9332247557003257,0.009750851797232129,0.9166506680513951,0.01030152829319016,6017,
SPAMBASE,Manual:sin(x)/(1+|x|),Manual,0.9784402572457491,0.003815223290895202,0.9371335504885995,0.009765349416632967,0.9214829453566968,0.01032463223258936,6017,
MINIBOONE,Manual:tanh,Manual,0.9702650208668148,0.0016517053654797188,0.9184599999999999,0.00295184687949765,0.8527570576222985,0.005467779727796102,5569,
MINIBOONE,Manual:arctan(x),Manual,0.9681575360070249,0.0007905123328143025,0.915915,0.0017528619455051393,0.8475383410059116,0.004658106077498831,5569,
MINIBOONE,Manual:arctan(x+0.5),Manual,0.9713436318115948,0.0018669766896913555,0.92032,0.0029168647551780715,0.8570953163436508,0.004482034496313094,5569,
MINIBOONE,Manual:arctan(x+0.6),Manual,0.9704121165204042,0.0021416777212428907,0.9178200000000001,0.004414362921192598,0.850443816275709,0.008114540861292686,5569,
MINIBOONE,Manual:cos(sqrt|x|),Manual,0.9693696264385375,0.0025065269417743484,0.9164850000000001,0.004525983318572871,0.8509212915340629,0.007116875635682468,5569,
MINIBOONE,Manual:cos(sqrt(|x+0.6|)),Manual,0.969285697954648,0.0024387645354819742,0.9166550000000001,0.004103440629520552,0.8510419817005301,0.007464776512320372,5569,
MINIBOONE,Manual:cos(arctan(x)),Manual,0.957502778908992,0.0027165746504646477,0.89233,0.005787624728677554,0.8225744858283163,0.006505885281063082,5569,
